Id,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Category
11,77122.25,44517.6456,89048.65083,1542.445,1048.8626,1264.8049,1357.3516,1820.0851,1326.5027,1141.4093,1573.2939,1665.8406,1789.2362,1449.8983,1634.9917,894.6181,1233.956,1172.2582,1018.0137,1604.1428,1696.6895,1110.5604,987.1648,1079.7115,863.7692,1203.1071,709.5247,740.3736,586.1291,802.0714,771.2225,616.978,1295.6538,832.9203,925.467,956.3159,678.6758,524.4313,401.0357,462.7335,555.2802,277.6401,493.5824,431.8846,308.489,215.9423,339.3379,185.0934,154.2445,123.3956,30.8489,92.5467,61.6978,2675,32,308489,10000,63680.52913,1.527519988,0.072984431,1.512063304,63655.19367,1.527329784,0.072926668,1.512275951,11,23,19,22,2,2021,11,23,19,22,2,2021,0
12,77117.5,44514.90373,89043.16628,1850.82,2005.055,1264.727,1326.421,1696.585,1819.973,1789.126,1233.88,1449.809,1203.033,832.869,863.716,1017.951,308.47,586.093,1758.279,802.022,1665.738,740.328,956.257,987.104,771.175,1141.339,431.858,1110.492,1079.645,616.94,1048.798,1542.35,1573.197,1418.962,894.563,1388.115,401.011,678.634,709.481,277.623,555.246,524.399,462.705,370.164,185.082,493.552,215.929,154.235,123.388,246.776,92.541,30.847,61.694,3073,32,308470,10000,63673.46252,1.527185063,0.073189225,1.512056779,63669.74199,1.527339723,0.073036445,1.512132008,11,23,19,22,2,2021,11,23,19,22,2,2021,0
13,77122.25,44517.6456,89048.65083,1604.1428,1233.956,1203.1071,1357.3516,1820.0851,401.0357,1511.5961,1480.7472,1419.0494,1079.7115,1449.8983,1573.2939,1295.6538,1141.4093,1110.5604,1388.2005,956.3159,1048.8626,1172.2582,1326.5027,740.3736,894.6181,925.467,1264.8049,1018.0137,863.7692,709.5247,370.1868,339.3379,832.9203,493.5824,771.2225,987.1648,802.0714,524.4313,586.1291,678.6758,462.7335,616.978,431.8846,277.6401,308.489,215.9423,647.8269,185.0934,246.7912,154.2445,123.3956,92.5467,61.6978,1886,32,308489,10000,63669.57091,1.527465373,0.072999712,1.512084651,63677.67961,1.527423737,0.073018465,1.512092135,11,23,20,22,2,2021,11,23,20,22,2,2021,0
14,77117.5,44514.90373,89043.16628,1819.973,1326.421,277.623,1233.88,1110.492,1604.044,1943.361,740.328,1418.962,1758.279,1203.033,1048.798,1480.656,1295.574,925.41,1511.503,1141.339,2066.749,1357.268,1542.35,802.022,1172.186,894.563,832.869,1665.738,1388.115,987.104,1017.951,616.94,1264.727,678.634,555.246,1449.809,956.257,462.705,586.093,401.011,185.082,863.716,154.235,647.787,370.164,493.552,215.929,524.399,123.388,246.776,92.541,30.847,61.694,2913,32,308470,10000,63674.25177,1.527515719,0.072928274,1.512136168,63684.00909,1.527239442,0.073085721,1.512145166,11,23,20,22,2,2021,11,23,20,22,2,2021,0
15,77120,44516.34682,89046.05288,1511.552,1604.096,1388.16,1665.792,1017.984,1203.072,1295.616,1419.008,1233.92,925.44,1480.704,308.48,678.656,1573.248,1264.768,1079.68,987.136,863.744,894.592,1172.224,832.896,1449.856,339.328,771.2,493.568,1110.528,1141.376,1357.312,1048.832,740.352,616.96,647.808,802.048,462.72,709.504,956.288,277.632,586.112,524.416,401.024,431.872,215.936,555.264,370.176,185.088,246.784,154.24,123.392,92.544,61.696,1718,32,308480,10000,63672.8209,1.527310385,0.073051662,1.512134848,63672.12736,1.527561435,0.072902669,1.512134208,11,23,21,22,2,2021,11,23,21,22,2,2021,0
16,77122.25,44517.6456,89048.65083,1573.2939,1634.9917,1511.5961,1542.445,1449.8983,709.5247,1665.8406,1604.1428,1233.956,678.6758,1326.5027,1480.7472,1419.0494,1203.1071,1172.2582,1079.7115,1388.2005,1018.0137,555.2802,462.7335,1357.3516,956.3159,987.1648,1110.5604,925.467,493.5824,1264.8049,771.2225,802.0714,863.7692,740.3736,894.6181,832.9203,616.978,524.4313,586.1291,370.1868,431.8846,401.0357,215.9423,647.8269,185.0934,308.489,277.6401,339.3379,154.2445,123.3956,30.8489,92.5467,61.6978,2144,32,308489,10000,63688.09737,1.527525134,0.072887059,1.512180392,63678.34879,1.527267006,0.073161988,1.512029829,11,23,21,22,2,2021,11,23,21,22,2,2021,0
17,77120,44516.34682,89046.05288,1326.464,1727.488,987.136,1449.856,1295.616,1480.704,1573.248,1511.552,1172.224,339.328,1634.944,1110.528,771.2,1017.984,1604.096,1665.792,925.44,1203.072,1141.376,1388.16,401.024,832.896,308.48,863.744,586.112,740.352,1233.92,524.416,802.048,1357.312,1079.68,555.264,431.872,277.632,894.592,709.504,616.96,493.568,647.808,678.656,370.176,462.72,185.088,215.936,246.784,154.24,123.392,92.544,30.848,61.696,2645,32,308480,10000,63662.2203,1.527381753,0.072928384,1.512235213,63677.88374,1.527392439,0.073062274,1.512060862,11,23,21,22,2,2021,11,23,22,22,2,2021,0
18,77120,44516.34682,89046.05288,2282.752,802.048,2560.384,462.72,1634.944,3053.952,1912.576,2591.232,987.136,431.872,2776.32,2436.992,1110.528,678.656,740.352,771.2,1696.64,3300.736,1727.488,2838.016,1357.312,956.288,1480.704,832.896,1203.072,1511.552,894.592,1665.792,308.48,709.504,1295.616,1449.856,97942.4,1141.376,2622.08,1017.984,1943.424,1079.68,586.112,2035.968,1233.92,863.744,1388.16,370.176,1542.4,1048.832,246.784,92.544,30.848,61.696,3654,32,308480,10000,63682.5802,1.527395642,0.072778618,1.512411255,63680.9755,1.527315957,0.073080239,1.512095177,11,23,22,22,2,2021,11,23,22,22,2,2021,0
19,77120,44516.34682,89046.05288,1388.16,1357.312,1511.552,1542.4,1141.376,1604.096,555.264,647.808,1264.768,1419.008,586.112,1017.984,1079.68,1573.248,1326.464,1172.224,1449.856,370.176,1295.616,1233.92,1203.072,740.352,894.592,802.048,524.416,956.288,925.44,832.896,1110.528,987.136,1048.832,771.2,616.96,431.872,863.744,493.568,709.504,678.656,401.024,462.72,308.48,277.632,215.936,185.088,246.784,339.328,154.24,123.392,92.544,61.696,1528,32,308480,10000,63672.60374,1.527388837,0.073005042,1.512134648,63679.94292,1.52751959,0.072858416,1.512220069,11,23,22,22,2,2021,11,23,22,22,2,2021,0
20,77120,44516.34682,89046.05288,1850.88,1727.488,1604.096,1419.008,1357.312,1511.552,1789.184,2159.36,1388.16,1295.616,1542.4,1048.832,1758.336,956.288,1110.528,1326.464,1449.856,1172.224,555.264,1017.984,894.592,1141.376,586.112,1233.92,616.96,524.416,1203.072,987.136,1079.68,771.2,740.352,925.44,863.744,678.656,832.896,709.504,802.048,462.72,493.568,401.024,308.48,431.872,277.632,215.936,185.088,370.176,154.24,123.392,92.544,61.696,1561,32,308480,10000,63674.99152,1.527311868,0.073087119,1.512089654,63683.41178,1.527349056,0.072957503,1.512223263,11,23,23,22,2,2021,11,23,23,22,2,2021,0
21,77120,44516.34682,89046.05288,1758.336,370.176,1634.944,1850.88,1326.464,1419.008,1233.92,1665.792,1203.072,1357.312,1727.488,1388.16,1141.376,1079.68,1480.704,1295.616,894.592,1172.224,1449.856,1017.984,832.896,771.2,863.744,740.352,1110.528,1264.768,1048.832,987.136,462.72,493.568,524.416,678.656,616.96,709.504,802.048,401.024,586.112,431.872,956.288,555.264,308.48,277.632,215.936,339.328,185.088,246.784,154.24,123.392,92.544,61.696,1502,32,308480,10000,63668.52931,1.5274175,0.073206407,1.511863419,63664.43218,1.527304651,0.072972778,1.51223725,11,23,23,22,2,2021,11,23,23,22,2,2021,0
22,77120,44516.34682,89046.05288,1850.88,1388.16,1634.944,1511.552,1203.072,647.808,1696.64,1326.464,524.416,1048.832,1295.616,956.288,1480.704,1172.224,832.896,1233.92,1141.376,1357.312,1449.856,1758.336,1264.768,925.44,802.048,1017.984,987.136,1079.68,616.96,771.2,1110.528,894.592,863.744,586.112,277.632,678.656,740.352,709.504,246.784,555.264,493.568,431.872,401.024,215.936,308.48,462.72,370.176,185.088,154.24,123.392,92.544,61.696,1712,32,308480,10000,63674.51166,1.527421578,0.072984119,1.512136407,63685.87526,1.527350738,0.073055866,1.512099699,11,23,24,22,2,2021,11,23,24,22,2,2021,0
23,77122.25,44517.6456,89048.65083,1696.6895,2251.9697,1634.9917,1850.934,1172.2582,1079.7115,647.8269,1573.2939,863.7692,1295.6538,1511.5961,1141.4093,1233.956,493.5824,1388.2005,1542.445,1110.5604,462.7335,524.4313,740.3736,1449.8983,1048.8626,1357.3516,771.2225,987.1648,1264.8049,1727.5384,1203.1071,1665.8406,925.467,709.5247,1018.0137,616.978,894.6181,802.0714,832.9203,586.1291,308.489,370.1868,431.8846,555.2802,678.6758,401.0357,185.0934,215.9423,123.3956,246.7912,92.5467,30.8489,61.6978,3135,32,308489,10000,63685.27623,1.52739748,0.07292723,1.51222498,63698.8459,1.5274853,0.073042108,1.512017309,11,23,24,22,2,2021,11,23,24,22,2,2021,0
24,77122.25,44517.6456,89048.65083,2128.5741,1511.5961,1203.1071,1172.2582,1727.5384,1233.956,1634.9917,1419.0494,1079.7115,894.6181,370.1868,863.7692,1141.4093,1326.5027,1542.445,987.1648,1110.5604,709.5247,616.978,1573.2939,1295.6538,1357.3516,832.9203,1388.2005,678.6758,1018.0137,647.8269,771.2225,740.3736,1264.8049,802.0714,1048.8626,925.467,493.5824,462.7335,524.4313,586.1291,431.8846,555.2802,401.0357,215.9423,277.6401,308.489,185.0934,339.3379,154.2445,123.3956,30.8489,92.5467,61.6978,2184,32,308489,10000,63669.61173,1.527386796,0.073008479,1.512131888,63662.71959,1.527413539,0.073035654,1.512078325,11,23,25,22,2,2021,11,23,25,22,2,2021,0
25,77117.5,44514.90373,89043.16628,1696.585,1388.115,1542.35,1264.727,1203.033,1758.279,431.858,1017.951,1172.186,1295.574,1480.656,1511.503,647.787,1604.044,1141.339,1079.645,1357.268,1326.421,1418.962,1110.492,832.869,401.011,1048.798,802.022,740.328,709.481,987.104,956.257,586.093,555.246,1233.88,771.175,894.563,925.41,678.634,863.716,524.399,616.94,493.552,462.705,308.47,277.623,185.082,215.929,339.317,246.776,154.235,123.388,92.541,61.694,1453,32,308470,10000,63688.26078,1.527572394,0.07292219,1.5121019,63672.90995,1.527341886,0.073070768,1.512087733,11,23,25,22,2,2021,11,23,25,22,2,2021,0
26,77120,44516.34682,89046.05288,1820.032,1233.92,1604.096,1419.008,1573.248,1172.224,370.176,1758.336,647.808,1912.576,863.744,1203.072,1295.616,925.44,1449.856,1326.464,987.136,1141.376,1110.528,1357.312,894.592,1048.832,1079.68,524.416,616.96,709.504,802.048,1264.768,1017.984,832.896,956.288,493.568,771.2,678.656,740.352,586.112,431.872,401.024,462.72,308.48,555.264,277.632,215.936,339.328,185.088,246.784,154.24,123.392,92.544,61.696,1484,32,308480,10000,63670.15279,1.527340003,0.073124574,1.512022255,63685.87526,1.527350738,0.073055866,1.512099699,11,23,25,22,2,2021,11,23,25,22,2,2021,0
27,77122.25,44517.6456,89048.65083,1758.3873,339.3379,1388.2005,2159.423,1264.8049,1480.7472,1326.5027,1634.9917,1573.2939,1419.0494,1295.6538,1357.3516,925.467,1079.7115,894.6181,1233.956,832.9203,1172.2582,1110.5604,1203.1071,678.6758,802.0714,1048.8626,1141.4093,863.7692,709.5247,987.1648,1018.0137,555.2802,740.3736,524.4313,771.2225,616.978,431.8846,647.8269,956.3159,462.7335,277.6401,586.1291,401.0357,493.5824,308.489,215.9423,370.1868,185.0934,246.7912,154.2445,123.3956,92.5467,61.6978,1626,32,308489,10000,63677.53711,1.527517954,0.072987866,1.512060541,63667.54127,1.527306777,0.072994494,1.512208646,11,23,26,22,2,2021,11,23,26,22,2,2021,0
28,77120,44516.34682,89046.05288,1820.032,1881.728,925.44,1758.336,1573.248,1665.792,1449.856,1388.16,1233.92,1079.68,863.744,802.048,1419.008,616.96,1141.376,894.592,1172.224,1264.768,1048.832,1912.576,1203.072,1480.704,1326.464,771.2,987.136,709.504,1110.528,740.352,1017.984,1295.616,956.288,277.632,832.896,431.872,678.656,586.112,524.416,493.568,401.024,555.264,462.72,185.088,370.176,215.936,246.784,154.24,123.392,92.544,30.848,61.696,2652,32,308480,10000,63674.59841,1.527390198,0.073002751,1.512136487,63679.98619,1.527503901,0.072867725,1.512220109,11,23,26,22,2,2021,11,23,26,22,2,2021,0
29,77120,44516.34682,89046.05288,863.744,2005.12,2159.36,1511.552,1943.424,2097.664,2344.448,1419.008,1789.184,1326.464,1264.768,1696.64,1665.792,1110.528,524.416,1079.68,740.352,1141.376,1233.92,894.592,1357.312,1634.944,771.2,925.44,1017.984,1172.224,586.112,987.136,956.288,832.896,1203.072,616.96,802.048,493.568,678.656,462.72,709.504,401.024,555.264,431.872,277.632,308.48,215.936,339.328,185.088,154.24,123.392,30.848,92.544,61.696,2244,32,308480,10000,63671.71487,1.527498273,0.072813909,1.512291153,63672.39976,1.527420139,0.072961225,1.512165924,11,23,27,22,2,2021,11,23,27,22,2,2021,0
30,77120,44516.34682,89046.05288,1696.64,2529.536,894.592,2066.816,1295.616,678.656,863.744,524.416,1511.552,1727.488,987.136,925.44,1758.336,1203.072,431.872,1449.856,1110.528,1141.376,1172.224,956.288,586.112,1789.184,370.176,709.504,1480.704,1264.768,1388.16,462.72,832.896,1017.984,771.2,740.352,1079.68,802.048,493.568,555.264,616.96,647.808,308.48,277.632,401.024,339.328,215.936,185.088,154.24,246.784,123.392,92.544,30.848,61.696,2838,32,308480,10000,63683.79157,1.527317881,0.073039055,1.512144965,63680.36569,1.527472723,0.072949319,1.512141806,11,23,27,22,2,2021,11,23,27,22,2,2021,0
31,77120,44516.34682,89046.05288,1789.184,1634.944,1480.704,1449.856,1388.16,1357.312,1419.008,1264.768,1573.248,1295.616,1326.464,925.44,555.264,1758.336,1542.4,1017.984,647.808,863.744,678.656,802.048,1110.528,1233.92,1203.072,1141.376,1079.68,771.2,1048.832,894.592,586.112,956.288,987.136,1172.224,740.352,616.96,832.896,493.568,709.504,462.72,524.416,431.872,277.632,401.024,308.48,370.176,215.936,185.088,154.24,123.392,92.544,61.696,1475,32,308480,10000,63672.65845,1.527263113,0.073016789,1.51221336,63683.66363,1.527427816,0.073011592,1.512097658,11,23,28,22,2,2021,11,23,28,22,2,2021,0
32,77120,44516.34682,89046.05288,1696.64,1665.792,1295.616,1634.944,1357.312,1542.4,1573.248,956.288,1388.16,1172.224,1419.008,1048.832,1264.768,1203.072,246.784,1511.552,1326.464,1079.68,802.048,1110.528,1233.92,1141.376,678.656,987.136,894.592,832.896,524.416,616.96,925.44,308.48,586.112,1017.984,771.2,277.632,30.848,740.352,709.504,493.568,863.744,431.872,462.72,555.264,401.024,215.936,370.176,185.088,154.24,123.392,92.544,61.696,1801,32,308480,10000,63662.28368,1.527507578,0.072942008,1.512125127,63677.09369,1.527423338,0.072892566,1.512248907,11,23,28,22,2,2021,11,23,28,22,2,2021,0
33,77120,44516.34682,89046.05288,709.504,3269.888,3239.04,2159.36,1017.984,1634.944,1665.792,832.896,1264.768,1233.92,894.592,1326.464,863.744,1573.248,1727.488,925.44,1110.528,1696.64,956.288,1604.096,987.136,1789.184,1449.856,1357.312,1912.576,1172.224,1419.008,1542.4,616.96,462.72,555.264,802.048,1079.68,431.872,1511.552,678.656,586.112,1974.272,493.568,215.936,246.784,277.632,185.088,154.24,308.48,339.328,123.392,92.544,30.848,61.696,3185,32,308480,10000,63680.38961,1.527315557,0.072954459,1.512251941,63669.41888,1.52730806,0.072967052,1.512241842,11,23,28,22,2,2021,11,23,28,22,2,2021,0
34,77122.25,44517.6456,89048.65083,1789.2362,1604.1428,1727.5384,1419.0494,1326.5027,1850.934,771.2225,1357.3516,2159.423,1079.7115,1542.445,1048.8626,431.8846,1696.6895,1172.2582,1141.4093,524.4313,802.0714,1665.8406,1264.8049,1634.9917,740.3736,987.1648,586.1291,1480.7472,1018.0137,709.5247,1203.1071,1511.5961,894.6181,1388.2005,678.6758,1295.6538,863.7692,493.5824,616.978,462.7335,925.467,555.2802,277.6401,401.0357,370.1868,215.9423,185.0934,154.2445,246.7912,123.3956,92.5467,30.8489,61.6978,2764,32,308489,10000,63673.69063,1.527719694,0.072807545,1.51213565,63685.6583,1.527429175,0.073009301,1.512099499,11,23,29,22,2,2021,11,23,29,22,2,2021,0
35,77117.5,44514.90373,89043.16628,1604.044,586.093,1573.197,2128.443,1048.798,2807.077,1326.421,987.104,3053.853,894.563,1943.361,740.328,616.94,2529.454,771.175,431.858,1388.115,1634.891,401.011,1110.492,2282.678,370.164,832.869,1881.667,1696.585,2406.066,678.634,925.41,1141.339,863.716,555.246,1850.82,1819.973,1233.88,1295.574,462.705,277.623,1665.738,1758.279,956.257,246.776,215.929,308.47,154.235,185.082,339.317,123.388,92.541,30.847,61.694,3229,32,308470,10000,63677.50367,1.527423618,0.072980683,1.512139167,63677.88374,1.527392439,0.073062274,1.512060862,11,23,29,22,2,2021,11,23,29,22,2,2021,0
36,77117.5,44514.90373,89043.16628,1665.738,1634.891,1357.268,1819.973,1264.727,1727.432,1573.197,1295.574,1326.421,1542.35,925.41,1172.186,246.776,832.869,1110.492,1048.798,1203.033,987.104,771.175,894.563,678.634,555.246,1079.645,1141.339,1233.88,431.858,1017.951,709.481,586.093,616.94,401.011,740.328,802.022,863.716,956.257,370.164,493.552,524.399,462.705,277.623,647.787,339.317,215.929,308.47,185.082,30.847,123.388,154.235,92.541,61.694,2099,32,308470,10000,63683.66363,1.527427816,0.073011592,1.512097658,63685.7995,1.527272102,0.073039609,1.512178275,11,23,30,22,2,2021,11,23,30,22,2,2021,0
37,77120,44516.34682,89046.05288,1727.488,678.656,616.96,1665.792,987.136,2035.968,1974.272,1110.528,1604.096,956.288,524.416,2066.816,1573.248,1789.184,1264.768,925.44,1357.312,1295.616,802.048,832.896,215.936,586.112,1141.376,1511.552,1419.008,1172.224,863.744,462.72,1758.336,1480.704,1820.032,185.088,1048.832,771.2,740.352,1449.856,1079.68,894.592,1388.16,709.504,1326.464,308.48,123.392,277.632,246.784,647.808,339.328,92.544,30.848,61.696,3414,32,308480,10000,63669.4945,1.527386716,0.0729833,1.512163246,63663.72959,1.527178392,0.072821655,1.512519822,11,23,30,22,2,2021,11,23,30,22,2,2021,0
38,77120,44516.34682,89046.05288,401.024,987.136,2436.992,1573.248,2344.448,2190.208,832.896,2313.6,863.744,3053.952,1079.68,2776.32,1850.88,1203.072,1419.008,2560.384,1665.792,1110.528,894.592,1172.224,1141.376,2035.968,1017.984,1388.16,2807.168,1912.576,1789.184,277.632,431.872,154.24,1542.4,462.72,185.088,1264.768,1048.832,802.048,1295.616,524.416,709.504,1604.096,1758.336,1449.856,493.568,370.176,956.288,97942.4,123.392,92.544,30.848,61.696,3448,32,308480,10000,63674.94605,1.527264678,0.073077366,1.512136808,63677.16986,1.527501985,0.072908944,1.512170321,11,23,31,22,2,2021,11,23,31,22,2,2021,0
